VarIdentificadorUsuario,VarNombresUsuario,VarApellidosUsuario,VarCorreoUsuario,VarEstadoUsuario,VarContraseniaUsuario,VarNicknameUsuario,VarGeneroUsuario,NbrTelefonoUsuario
a69ccb8e-74f4-11ed-8c78-0242ac1c000c,Abigaíl Emiliana,Donaire Fernández,abigaíl.donaire@hotmail.com,Activo,n#d$Q1HjG3,marianochamorro,F,961825442
a69ccc6a-74f4-11ed-8c78-0242ac1c000c,Natividad Anunciación,Rodríguez Coca,natividad.rodríguez@hotmail.com,Inactivo,7og7fBu#t$,linagisbert,F,973853800
a69ccd46-74f4-11ed-8c78-0242ac1c000c,Lorenzo Óscar,Bru Páez,lorenzo.bru@hotmail.com,Inactivo,bz5Rpic!_!,corbachojoel,M,922510905
a69cce04-74f4-11ed-8c78-0242ac1c000c,María Belén Leticia,Marin Santamaria,maría belén.marin@hotmail.com,Inactivo,f+6NVsAFuy,sauraheriberto,F,963383878
a69ccecc-74f4-11ed-8c78-0242ac1c000c,Pacífica Eligia,Feliu Segarra,pacífica.feliu@hotmail.com,Activo,)$2Ns7Wpap,hortensiagascon,F,922624230
a69ccf8a-74f4-11ed-8c78-0242ac1c000c,Alba Fátima,Uría Sancho,alba.uría@hotmail.com,Inactivo,dU)aOyYm+6,zcoll,F,921013197
a69cd052-74f4-11ed-8c78-0242ac1c000c,Olivia Miriam,Quesada Solsona,olivia.quesada@hotmail.com,Activo,*4ym8A(e_*,camilo68,F,931783753
a69cd11a-74f4-11ed-8c78-0242ac1c000c,Ariel Malena,Pedraza Aguilar,ariel.pedraza@hotmail.com,Activo,j05AIzZm$Y,hernando29,F,949294456
a69cd1e2-74f4-11ed-8c78-0242ac1c000c,Dulce Encarnita,Ferrando Amigó,dulce.ferrando@hotmail.com,Inactivo,Bfd57REBi),canohermenegildo,F,978754101
a69cd2a0-74f4-11ed-8c78-0242ac1c000c,Guiomar Marc,Arnaiz Yáñez,guiomar.arnaiz@hotmail.com,Activo,#6XVJRfq5l,estherelorza,M,905531976
a69cd368-74f4-11ed-8c78-0242ac1c000c,Marc Ernesto,Ferrer Ferreras,marc.ferrer@hotmail.com,Inactivo,%8zNa)Pz&&,losaarmando,M,912330815
a69cd426-74f4-11ed-8c78-0242ac1c000c,Palmira Martina,Rey Jover,palmira.rey@hotmail.com,Inactivo,1%bVHwPT^2,arnalconcepcion,F,922525490
a69cd4e4-74f4-11ed-8c78-0242ac1c000c,Roque Ramiro,Fonseca Torre,roque.fonseca@hotmail.com,Activo,4)^9Iz*uLA,tamaragual,M,920304392
a69cd5ac-74f4-11ed-8c78-0242ac1c000c,Bartolomé Gerardo,Adán Bustos,bartolomé.adán@hotmail.com,Inactivo,$i9jGsPX1_,luz10,M,927579474
a69cd66a-74f4-11ed-8c78-0242ac1c000c,Florencia Zaida,Puerta Cabello,florencia.puerta@hotmail.com,Activo,!5ZCO_u#!l,fidelalcalde,F,969934591
a69cd732-74f4-11ed-8c78-0242ac1c000c,Emperatriz Cecilia,Abascal Ropero,emperatriz.abascal@hotmail.com,Activo,(YpG7_QdN(,rosendo15,F,918140782
a69cd7fa-74f4-11ed-8c78-0242ac1c000c,Anna Maribel,Frutos Torrens,anna.frutos@hotmail.com,Inactivo,*R41H+#mtl,baltasarescamilla,F,959848894
a69cd8b8-74f4-11ed-8c78-0242ac1c000c,Norberto Toni,Benavent Duarte,norberto.benavent@hotmail.com,Activo,(23V1fa1c9,lilia09,M,995703579
a69cd980-74f4-11ed-8c78-0242ac1c000c,Manuelita Montserrat,Aragonés Acosta,manuelita.aragonés@hotmail.com,Inactivo,H2C#dG!v$s,villenaxavier,F,988225929
a69d6cc4-74f4-11ed-8c78-0242ac1c000c,Araceli Martina,Múñiz Cózar,araceli.múñiz@hotmail.com,Activo,*nuTJ3Clm_,vblanco,F,909066636
a69d6fbc-74f4-11ed-8c78-0242ac1c000c,Martirio Tomasa,Alsina Raya,martirio.alsina@hotmail.com,Inactivo,%MWaJtGSi8,tgras,F,970929179
a69d707a-74f4-11ed-8c78-0242ac1c000c,Rosario Casandra,Ibarra Aliaga,rosario.ibarra@hotmail.com,Activo,^r@J1Aac4S,vperea,F,929232901
a69d711a-74f4-11ed-8c78-0242ac1c000c,Yaiza Lola,Gimeno Llorens,yaiza.gimeno@hotmail.com,Activo,+)I1Q$LlA4,ballesterosanunciacion,F,977803054
a69d71ba-74f4-11ed-8c78-0242ac1c000c,Silvestre Dionisio,Roselló Mayol,silvestre.roselló@hotmail.com,Inactivo,a4QGa7v7)X,triniavila,M,960519822
a69d7246-74f4-11ed-8c78-0242ac1c000c,Sonia Nicolasa,Oliva Luque,sonia.oliva@hotmail.com,Activo,75oXZ2Fv@x,pujadasrosenda,F,997747518
a69d72dc-74f4-11ed-8c78-0242ac1c000c,Nélida Alexandra,Marqués Revilla,nélida.marqués@hotmail.com,Inactivo,Ea4R3doPY_,camilogutierrez,F,986952536
a69d737c-74f4-11ed-8c78-0242ac1c000c,Manuela Irene,Oller Costa,manuela.oller@hotmail.com,Activo,rHOnf6+F_9,lalo97,F,956981773
a69d7444-74f4-11ed-8c78-0242ac1c000c,Rafaela Sarita,Bustos Puente,rafaela.bustos@hotmail.com,Inactivo,M(20T6QWLp,ariellasa,F,959055767
a69d74da-74f4-11ed-8c78-0242ac1c000c,Brígida Encarnacion,Verdejo Poza,brígida.verdejo@hotmail.com,Inactivo,pdg8Ro5mh#,qalcala,F,906027702
a69d7570-74f4-11ed-8c78-0242ac1c000c,Griselda Evita,Morcillo Blanca,griselda.morcillo@hotmail.com,Inactivo,!1vZV!sS0H,pozuelopalmira,F,903346146
a69d7606-74f4-11ed-8c78-0242ac1c000c,Lina Mercedes,Armengol Olivares,lina.armengol@hotmail.com,Activo,*5OHHmIb0V,salomonpomares,F,944440464
a69d7a0c-74f4-11ed-8c78-0242ac1c000c,Abel Alfonso,Cid Gracia,abel.cid@hotmail.com,Activo,i0U^WI+L^&,josegomila,M,951236216
a69d7aac-74f4-11ed-8c78-0242ac1c000c,Leandra Marta,Puig Baeza,leandra.puig@hotmail.com,Inactivo,oF3JiNW8@&,dominga65,F,907519433
a69d7b42-74f4-11ed-8c78-0242ac1c000c,Hector Zacarías,Tudela Santamaria,hector.tudela@hotmail.com,Inactivo,)9QAHqmwcm,erius,M,993765366
a69d7bce-74f4-11ed-8c78-0242ac1c000c,Milagros Ámbar,Cabeza Santiago,milagros.cabeza@hotmail.com,Inactivo,_+EiQ@(e9a,icardona,F,914982099
a69d7c64-74f4-11ed-8c78-0242ac1c000c,Mohamed Seve,Carmona Vila,mohamed.carmona@hotmail.com,Activo,j%1dPpvsIv,aaranda,M,947564400
a69d7d18-74f4-11ed-8c78-0242ac1c000c,Esther Anastasia,Puente Puig,esther.puente@hotmail.com,Activo,+PXGI+sj97,cbayon,F,916262060
a69d7dae-74f4-11ed-8c78-0242ac1c000c,Genoveva Úrsula,Bernat Alcántara,genoveva.bernat@hotmail.com,Activo,VSBx5Rw4M+,ariel73,F,954121614
a69d7e44-74f4-11ed-8c78-0242ac1c000c,Marcelo Alfredo,Larrea Uriarte,marcelo.larrea@hotmail.com,Inactivo,g&7TURoe%1,pazmercedes,M,935816757
a69d7f48-74f4-11ed-8c78-0242ac1c000c,Lucho Eugenio,Fuentes Camacho,lucho.fuentes@hotmail.com,Activo,pwGCRNea_5,osaavedra,M,987239537
a69d8006-74f4-11ed-8c78-0242ac1c000c,Constanza Tania,García Alcalde,constanza.garcía@hotmail.com,Activo,28*kgQNc@R,marciamarti,F,939808289
a69d80ba-74f4-11ed-8c78-0242ac1c000c,Joan Carlito,Baños Guzman,joan.baños@hotmail.com,Inactivo,f0$C$5Jy&a,apariciomacaria,M,955313809
a69d9244-74f4-11ed-8c78-0242ac1c000c,Pili Virginia,Amigó Peñalver,pili.amigó@hotmail.com,Activo,diH9sCub#8,julianaragon,F,910315726
a69d93fc-74f4-11ed-8c78-0242ac1c000c,Palmira Aránzazu,Fonseca Batalla,palmira.fonseca@hotmail.com,Inactivo,evg!a0AoTw,franciscopoza,F,913692553
a69d9492-74f4-11ed-8c78-0242ac1c000c,Marino Paco,Adán Aguado,marino.adán@hotmail.com,Inactivo,@t1Pv9+pRc,rozasfeliciana,M,934889241
a69d9528-74f4-11ed-8c78-0242ac1c000c,Teófila Caridad,Carlos Almeida,teófila.carlos@hotmail.com,Activo,ajv7iTyif(,fcabo,F,939971087
a69d95be-74f4-11ed-8c78-0242ac1c000c,Dimas Vasco,Amores Saavedra,dimas.amores@hotmail.com,Inactivo,k1v3YXQy@i,gimenezruy,M,959784255
a69d9654-74f4-11ed-8c78-0242ac1c000c,Jordi Moreno,Torre Santos,jordi.torre@hotmail.com,Activo,!5kQJ7ag5l,candelarioconde,M,999296220
a69d96ea-74f4-11ed-8c78-0242ac1c000c,Teodosio Dionisio,Granados Piñeiro,teodosio.granados@hotmail.com,Inactivo,g9ELMYOa^X,lobolorena,M,924346342
a69d9776-74f4-11ed-8c78-0242ac1c000c,Dionisia Amelia,Valle Badía,dionisia.valle@hotmail.com,Inactivo,8xETuU%d!5,vivianaangulo,F,912371075
a69d980c-74f4-11ed-8c78-0242ac1c000c,Francisca Ofelia,Guerra Oller,francisca.guerra@hotmail.com,Activo,^UKowaCe5#,rgras,F,944264816
a69d9898-74f4-11ed-8c78-0242ac1c000c,Mariano Jose Francisco,Acero Cuervo,mariano.acero@hotmail.com,Activo,^6F6Dunb@9,felicidad25,M,958817825
a69d992e-74f4-11ed-8c78-0242ac1c000c,Rogelio Antonio,Juárez Hernando,rogelio.juárez@hotmail.com,Activo,42VDDMwa@),amorpalau,M,963179641
a69d99c4-74f4-11ed-8c78-0242ac1c000c,Álvaro Josep,Posada Tenorio,álvaro.posada@hotmail.com,Activo,&wZ3MaPw%8,monica01,M,901855498
a69d9a50-74f4-11ed-8c78-0242ac1c000c,Isidro Héctor,Galan Molins,isidro.galan@hotmail.com,Inactivo,wMKGE@X2^0,ginerazahar,M,914309520
a69d9adc-74f4-11ed-8c78-0242ac1c000c,Manuelita Zoraida,Canet Izaguirre,manuelita.canet@hotmail.com,Inactivo,Ks6OA3ldq),juan-francisco32,F,956613737
a69d9b72-74f4-11ed-8c78-0242ac1c000c,Germán Felix,Luján Salmerón,germán.luján@hotmail.com,Activo,1)BFSRu5#^,daniela69,M,989075868
a69d9c08-74f4-11ed-8c78-0242ac1c000c,Adelaida Carmela,Barco Boada,adelaida.barco@hotmail.com,Inactivo,7&!H4MrFi9,tomasamerico,F,914682666
a69dd0f6-74f4-11ed-8c78-0242ac1c000c,Soledad Lidia,Zabaleta Rosales,soledad.zabaleta@hotmail.com,Inactivo,+(u8%cHiQY,qfortuny,F,983612601
a69dd380-74f4-11ed-8c78-0242ac1c000c,Eugenia Eva,Caballero Viña,eugenia.caballero@hotmail.com,Inactivo,s*5H!zt7(q,qmoll,F,985240768
a69dd47a-74f4-11ed-8c78-0242ac1c000c,Pastor Borja,Perelló Calderon,pastor.perelló@hotmail.com,Inactivo,L#_5DjKoH*,duartejonatan,M,945219610
a69dd556-74f4-11ed-8c78-0242ac1c000c,Gerardo Clemente,Peiró Silva,gerardo.peiró@hotmail.com,Activo,(zKyJ&xy69,isidro73,M,916776235
a69dd6e6-74f4-11ed-8c78-0242ac1c000c,Elisa Reyna,Aguilera Lladó,elisa.aguilera@hotmail.com,Inactivo,_T7LplbJUg,roxanaacevedo,F,964959601
a69dd7ae-74f4-11ed-8c78-0242ac1c000c,Rocío Cristina,Cervera Ávila,rocío.cervera@hotmail.com,Inactivo,Veu8O47z)h,gelabertaurora,F,970025087
a69dd880-74f4-11ed-8c78-0242ac1c000c,Viviana Luisina,Gonzalez Marquez,viviana.gonzalez@hotmail.com,Inactivo,F2((P8FcXv,oliveraaitana,F,951079182
a69dd93e-74f4-11ed-8c78-0242ac1c000c,Saturnina Amanda,Amaya Perez,saturnina.amaya@hotmail.com,Inactivo,E!0QSClwtI,zluis,F,971361839
